"date","code","region","name","AE_att_T1","AE_att_T2","AE_att_T3","AE_att_tot","AE_more4_T1","AE_more4_T2","AE_more4_T3","AE_more4_tot","AE_per4_T1","AE_per4_all","Em_adm_AE_T1","Em_adm_AE_T2","Em_adm_AE_T34","Em_adm_AE_tot","Em_adm_other","Em_adm_tot","Em_pat_adm_more4","Em_pat_adm_more12","time_period","file_name","day_num"
2025-03-01,"RC9","NHS England East Of England","Bedfordshire Hospitals NHS Foundation Trust",17026,0,9599,26625,7473,0,0,7473,0.561083049453777,0.719323943661972,4678,0,0,4678,2325,7003,9,9,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RGT","NHS England East Of England","Cambridge University Hospitals NHS Foundation Trust",11282,0,6535,17817,4957,0,135,5092,0.560627548307038,0.714205534040523,2764,0,35,2799,436,3235,1030,417,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RWH","NHS England East Of England","East And North Hertfordshire NHS Trust",9225,0,8769,17994,4607,0,109,4716,0.50059620596206,0.737912637545848,2849,0,3,2852,228,3080,407,170,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RDE","NHS England East Of England","East Suffolk And North Essex NHS Foundation Trust",13117,0,15563,28680,5648,0,555,6203,0.569413737897385,0.783716875871688,6306,0,386,6692,1212,7904,1709,733,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RY4","NHS England East Of England","Hertfordshire Community NHS Trust",0,0,1223,1223,0,0,38,38,NA,0.968928863450532,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"DT301","NHS England East Of England","Herts Urgent Care (Ascots Lane)",0,0,2413,2413,0,0,124,124,NA,0.948611686697058,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RGP","NHS England East Of England","James Paget University Hospitals NHS Foundation Trust",7416,0,1608,9024,3330,0,0,3330,0.550970873786408,0.630984042553192,1676,0,0,1676,504,2180,1039,457,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RAJ","NHS England East Of England","Mid And South Essex NHS Foundation Trust",31805,0,3966,35771,11582,0,311,11893,0.635843420845779,0.667523971932571,8531,0,174,8705,1285,9990,3182,627,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RD8","NHS England East Of England","Milton Keynes University Hospital NHS Foundation Trust",9251,0,5488,14739,3373,0,392,3765,0.63539076856556,0.744555261550987,2260,0,0,2260,446,2706,897,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RM1","NHS England East Of England","Norfolk And Norwich University Hospitals NHS Foundation Trust",12804,0,8381,21185,3867,0,0,3867,0.697985004686036,0.817465187632759,2482,0,0,2482,1599,4081,1169,255,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RGN","NHS England East Of England","North West Anglia NHS Foundation Trust",15288,0,5141,20429,6512,0,211,6723,0.574045002616431,0.670909001909051,3714,0,32,3746,1592,5338,1371,889,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"Y02428","NHS England East Of England","Putnoe Walk In Centre",0,0,3139,3139,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RQW","NHS England East Of England","The Princess Alexandra Hospital NHS Trust",8544,0,2796,11340,3474,0,0,3474,0.593398876404494,0.693650793650794,1795,0,0,1795,277,2072,490,89,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RCX","NHS England East Of England","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",6746,0,1246,7992,3185,0,0,3185,0.527868366439372,0.601476476476477,1909,0,0,1909,373,2282,413,128,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RWG","NHS England East Of England","West Hertfordshire Teaching Hospitals NHS Trust",8729,0,8460,17189,2928,0,187,3115,0.664566387902394,0.8187794519751,4279,0,0,4279,619,4898,847,28,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RGR","NHS England East Of England","West Suffolk NHS Foundation Trust",8292,0,798,9090,1055,0,0,1055,0.872768933912204,0.883938393839384,2117,0,0,2117,300,2417,284,69,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"G0Q0L","NHS England London","Barking Hospital Utc",0,0,2910,2910,0,0,30,30,NA,0.989690721649484,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RF4","NHS England London","Barking, Havering And Redbridge University Hospitals NHS Trust",13687,2482,15017,31186,6204,385,151,6740,0.546723167969606,0.783877380876034,8016,0,0,8016,415,8431,1623,928,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"R1H","NHS England London","Barts Health NHS Trust",25830,973,18069,44872,11735,53,1279,13067,0.545683313975997,0.708793902656445,4556,0,46,4602,1117,5719,2232,990,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
